Metadata to VIS image,m201031163717208.jpg,
Timestamp,2020-10-31 16:37:17.208,CET
Internal camera temperature [degC],+11.6,
Exposure time [microsec/sec],783,1/1277
Illumination level, 725,
Lux value, 4202.0,
Sharpness setting, 4,
Brightness setting, 0,
Backlight correction, 4,
Color saturation, 0,
Blue Balance, 0,
Red Balance, 0,
Black pixel correction,-1,
