Metadata to VIS image,m201029133816180.jpg,
Timestamp,2020-10-29 13:38:16.180,CET
Internal camera temperature [degC],- 1.3,
Exposure time [microsec/sec],162,1/6172
Illumination level, 873,
Lux value,23090.9,
Sharpness setting, 4,
Brightness setting, 0,
Backlight correction, 4,
Color saturation, 0,
Blue Balance, 0,
Red Balance, 0,
Black pixel correction,-1,
